code,name,family,file,size,notes,source
TC2096,DRIVER BEHAVIOUR MONITORING PHONE 13HOON,Camera Monitoring,DRIVER_BEHAVIOUR_MONITORING_PHONE_13HOON_TC2096.svg,900x1300 mm,size from the drawing's overall height dimension (1300 mm); type: INFORMATION SIGN,Original PDFs/TC signs/TC Signs_June 2026/camera monitoring/TC2096.pdf
TC2096,DRIVER BEHAVIOUR MONITORING PHONE 13HOON,Camera Monitoring,DRIVER_BEHAVIOUR_MONITORING_PHONE_13HOON_VAR2_TC2096.svg,124x792 mm,no size found on the sheet; drawn at 1:10 — check; type: INFORMATION SIGN,Original PDFs/TC signs/TC Signs_June 2026/camera monitoring/TC2096.pdf
TC2256,RAIL BRIDGE IMPACT MONITORING,Camera Monitoring,RAIL_BRIDGE_IMPACT_MONITORING_TC2256.svg,998x1100 mm,size from the drawing's overall height dimension (1100 mm); type: INFORMATION SIGN,Original PDFs/TC signs/TC Signs_June 2026/camera monitoring/TC2256.pdf
TC2259,FLOOD MONITORING,Camera Monitoring,FLOOD_MONITORING_TC2259.svg,600x900 mm,size from the drawing's overall height dimension (900 mm); type: INFORMATION SIGN,Original PDFs/TC signs/TC Signs_June 2026/camera monitoring/TC2259.pdf
TC1782,RAIL CROSSING CAMERA AHEAD,Camera Monitoring,RAIL_CROSSING_CAMERA_AHEAD_TC1782.svg,750x1398 mm,size from the drawing's overall width dimension (750 mm); type: INFORMATION SIGN,Original PDFs/TC signs/TC Signs_June 2026/camera monitoring/tc1782.pdf
TC1673,REPORT TRAFFIC INCIDENTS 13 19 40,Community,REPORT_TRAFFIC_INCIDENTS_13_19_40_TC1673.svg,1502x1080 mm,no size found on the sheet; drawn at 1:10 — check; type: INFORMATION SIGN,Original PDFs/TC signs/TC Signs_June 2026/community/TC1673.pdf
TC1703,,Community,TC1703_TC1703.svg,2125x502 mm,no size found on the sheet; drawn at 1:10 — check,Original PDFs/TC signs/TC Signs_June 2026/community/TC1703.pdf
TC1703,,Community,TC1703_VAR2_TC1703.svg,916x751 mm,no size found on the sheet; drawn at 1:10 — check,Original PDFs/TC signs/TC Signs_June 2026/community/TC1703.pdf
TC1732,HINGED TRAFFIC REPORT 13 19 40,Community,HINGED_TRAFFIC_REPORT_13_19_40_TC1732.svg,163x135 mm,size from the drawing's overall height dimension (135 mm); type: INFORMATION SIGN,Original PDFs/TC signs/TC Signs_June 2026/community/TC1732.pdf
TC1732,HINGED TRAFFIC REPORT 13 19 40,Community,HINGED_TRAFFIC_REPORT_13_19_40_VAR2_TC1732.svg,974x200 mm,no size found on the sheet; drawn at 1:10 — check; background assumed to be a white rectangle (outline drawn as loose strokes) — check; type: INFORMATION SIGN,Original PDFs/TC signs/TC Signs_June 2026/community/TC1732.pdf
TC1732,HINGED TRAFFIC REPORT 13 19 40,Community,HINGED_TRAFFIC_REPORT_13_19_40_VAR3_TC1732.svg,235x205 mm,size from the drawing's overall width dimension (235 mm); type: INFORMATION SIGN,Original PDFs/TC signs/TC Signs_June 2026/community/TC1732.pdf
TC1732,HINGED TRAFFIC REPORT 13 19 40,Community,HINGED_TRAFFIC_REPORT_13_19_40_VAR4_TC1732.svg,286x288 mm,no size found on the sheet; drawn at 1:10 — check; type: INFORMATION SIGN,Original PDFs/TC signs/TC Signs_June 2026/community/TC1732.pdf
TC1912,FOR EMERGENCY INFORMATION TUNE TO LOCAL RADIO OR TV,Community,FOR_EMERGENCY_INFORMATION_TUNE_TO_LOCAL_RADIO_OR_TV_TC1912.svg,2000x1699 mm,size from the drawing's overall width dimension (2000 mm); type: INFORMATION SIGN,Original PDFs/TC signs/TC Signs_June 2026/community/TC1912.pdf
TC2240,IN CRISIS? CALL 13 11 15 NOW,Community,IN_CRISIS_CALL_13_11_15_NOW_TC2240.svg,400x297 mm,size from the drawing's overall width dimension (400 mm); type: INFORMATION SIGN,Original PDFs/TC signs/TC Signs_June 2026/community/TC2240.pdf
TC2241,SEEK HELP FIND HOPE CALL LIFELINE,Community,SEEK_HELP_FIND_HOPE_CALL_LIFELINE_TC2241.svg,400x300 mm,size from the drawing's overall width dimension (400 mm); type: SERVICE SIGN,Original PDFs/TC signs/TC Signs_June 2026/community/TC2241.pdf
TC2378,LIGHTING OUT,Community,LIGHTING_OUT_TC2378.svg,600x450 mm,size from the drawing's overall width dimension (600 mm); type: TEMPORARY WARNING SIGN,Original PDFs/TC signs/TC Signs_June 2026/community/TC2378.pdf
TC9802,COMMUNITY SIGN,Community,COMMUNITY_SIGN_TC9802.svg,450x599 mm,"size from the sheet's dimension table, first row (a = 450, b = 600); other rows are size variants not produced; type: SAFETY HOUSE",Original PDFs/TC signs/TC Signs_June 2026/community/Tc9802.pdf
TC1430,REPORT ROAD HAZARDS,Community,REPORT_ROAD_HAZARDS_TC1430.svg,3100x1102 mm,size from the drawing's overall width dimension (3100 mm); type: INFORMATION SIGN,Original PDFs/TC signs/TC Signs_June 2026/community/tc1430.pdf
TC1507,FOR EMERGENCY UHF RADIO CHANNEL 1 DUPLEX,Community,FOR_EMERGENCY_UHF_RADIO_CHANNEL_1_DUPLEX_TC1507.svg,1200x600 mm,size from the drawing's overall width dimension (1200 mm); type: INFORMATION SIGN,Original PDFs/TC signs/TC Signs_June 2026/community/tc1507.pdf
TC1538,INFORMATION ON CAPE YORK ALCOHOL RESTRICTIONS NEXT STOP,Community,INFORMATION_ON_CAPE_YORK_ALCOHOL_RESTRICTIONS_NEXT_STOP_SIGN_1_TC1538.svg,2300x2199 mm,size from the drawing's overall width dimension (2300 mm); type: ALCOHOL RESTRICTION SIGNS,Original PDFs/TC signs/TC Signs_June 2026/community/tc1538.pdf
TC9717,STREET NAME SIGN - SIDE 1,Community,STREET_NAME_SIGN_SIDE_1_TC9717.svg,225x225 mm,size from the drawing's overall width dimension (225 mm); type: NEIGHBOURHOOD WATCH AREA,Original PDFs/TC signs/TC Signs_June 2026/community/tc9717.pdf
TC9717,STREET NAME SIGN - SIDE 1,Community,STREET_NAME_SIGN_SIDE_1_VAR2_TC9717.svg,579x579 mm,no size found on the sheet; drawn at 1:10 — check; type: NEIGHBOURHOOD WATCH AREA,Original PDFs/TC signs/TC Signs_June 2026/community/tc9717.pdf
TC9717,STREET NAME SIGN - SIDE 1,Community,STREET_NAME_SIGN_SIDE_1_VAR3_TC9717.svg,579x579 mm,no size found on the sheet; drawn at 1:10 — check; type: NEIGHBOURHOOD WATCH AREA,Original PDFs/TC signs/TC Signs_June 2026/community/tc9717.pdf
TC9717,STREET NAME SIGN - SIDE 1,Community,STREET_NAME_SIGN_SIDE_1_VAR4_TC9717.svg,421x552 mm,no size found on the sheet; drawn at 1:10 — check; type: NEIGHBOURHOOD WATCH AREA,Original PDFs/TC signs/TC Signs_June 2026/community/tc9717.pdf
TC9718,BOUNDARY SIGN,Community,BOUNDARY_SIGN_TC9718.svg,450x599 mm,size from the drawing's overall width dimension (450 mm); type: NEIGHBOURHOOD WATCH AREA,Original PDFs/TC signs/TC Signs_June 2026/community/tc9718.pdf
TC9718,BOUNDARY SIGN,Community,BOUNDARY_SIGN_VAR2_TC9718.svg,579x579 mm,no size found on the sheet; drawn at 1:10 — check; type: NEIGHBOURHOOD WATCH AREA,Original PDFs/TC signs/TC Signs_June 2026/community/tc9718.pdf
TC9718,BOUNDARY SIGN,Community,BOUNDARY_SIGN_VAR3_TC9718.svg,579x579 mm,no size found on the sheet; drawn at 1:10 — check; type: NEIGHBOURHOOD WATCH AREA,Original PDFs/TC signs/TC Signs_June 2026/community/tc9718.pdf
TC9718,BOUNDARY SIGN,Community,BOUNDARY_SIGN_VAR4_TC9718.svg,421x552 mm,no size found on the sheet; drawn at 1:10 — check; type: NEIGHBOURHOOD WATCH AREA,Original PDFs/TC signs/TC Signs_June 2026/community/tc9718.pdf
TC9809,FIRE SERVICES,Community,FIRE_SERVICES_TC9809.svg,1900x617 mm,size from the drawing's overall width dimension (1900 mm); background assumed to be a white rectangle (outline drawn as loose strokes) — check; type: COMMUNITY INFORMATION SIGN,Original PDFs/TC signs/TC Signs_June 2026/community/tc9809.pdf
TC9809,FIRE SERVICES,Community,FIRE_SERVICES_VAR2_TC9809.svg,1900x599 mm,size from the drawing's overall width dimension (1900 mm); drawn at 2 sizes on the sheet; largest kept; type: COMMUNITY INFORMATION SIGN,Original PDFs/TC signs/TC Signs_June 2026/community/tc9809.pdf
TC9809,FIRE SERVICES,Community,FIRE_SERVICES_VAR3_TC9809.svg,1900x599 mm,size from the drawing's overall width dimension (1900 mm); type: COMMUNITY INFORMATION SIGN,Original PDFs/TC signs/TC Signs_June 2026/community/tc9809.pdf
TC9809,FIRE SERVICES,Community,FIRE_SERVICES_VAR4_TC9809.svg,1900x599 mm,size from the drawing's overall width dimension (1900 mm); type: COMMUNITY INFORMATION SIGN,Original PDFs/TC signs/TC Signs_June 2026/community/tc9809.pdf
TC1696,(REASSURANCE),Diversion Route,REASSURANCE_TC1696.svg,300x200 mm,size from the drawing's overall width dimension (300 mm); type: DIVERSION ROUTE MARKER,Original PDFs/TC signs/TC Signs_June 2026/diversion route/TC1696.pdf
TC1697,DIRECTION SIGN,Diversion Route,DIRECTION_SIGN_TC1697.svg,1800x599 mm,size from the drawing's overall width dimension (1800 mm); type: DIVERSION ROUTE,Original PDFs/TC signs/TC Signs_June 2026/diversion route/TC1697.pdf
TC1697,DIRECTION SIGN,Diversion Route,DIRECTION_SIGN_VAR2_TC1697.svg,1800x599 mm,size from the drawing's overall width dimension (1800 mm); type: DIVERSION ROUTE,Original PDFs/TC signs/TC Signs_June 2026/diversion route/TC1697.pdf
TC1698,ADVANCED INFORMATION SIGN (ONE CROSSING),Diversion Route,ADVANCED_INFORMATION_SIGN_ONE_CROSSING_TC1698.svg,2000x1598 mm,size from the drawing's overall width dimension (2000 mm); type: LOAD LIMIT DIVERSION ROUTE,Original PDFs/TC signs/TC Signs_June 2026/diversion route/TC1698.pdf
TC1699,RESTRICTIONS APPLY AT,Diversion Route,RESTRICTIONS_APPLY_AT_TC1699.svg,2100x2198 mm,size from the drawing's overall width dimension (2100 mm); type: ADVANCE DIRECTION SIGN (TURN RIGHT),Original PDFs/TC signs/TC Signs_June 2026/diversion route/TC1699.pdf
TC1700,RESTRICTIONS APPLY AT,Diversion Route,RESTRICTIONS_APPLY_AT_TC1700.svg,2100x1998 mm,size from the drawing's overall width dimension (2100 mm); type: ADVANCE DIRECTION SIGN,Original PDFs/TC signs/TC Signs_June 2026/diversion route/TC1700.pdf
