code,title,section,family,vector_set,eps,jpg,svg
460-23,Bedarfsumleitung - im Kreisverkehr rechts,Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),Vz2017,Vz2017/Z-460/460-23.eps,,BEDARFSUMLEITUNG_IM_KREISVERKEHR_RECHTS_460-23.svg
460-30,Bedarfsumleitung - geradeaus,Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,460-30.jpg,
460-31,Bedarfsumleitung - im Kreisverkehr geradeaus,Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),Vz2017,Vz2017/Z-460/460-31.eps,,BEDARFSUMLEITUNG_IM_KREISVERKEHR_GERADEAUS_460-31.svg
460-50,Bedarfsumleitung - ohne Pfeilsymbol,Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,460-50.jpg,
466,Weiterführende Bedarfsumleitung,Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,466.jpg,
467.1,Umlenkungspfeil (Streckenempfehlung),Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,,
467.1-10,Umlenkungspfeil (Streckenempfehlung) - linksweisend,Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,467.1-10.jpg,
467.1-20,Umlenkungspfeil (Streckenempfehlung) - rechtsweisend,Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,,
467.1-30,Umlenkungspfeil (Streckenempfehlung) - geradeaus,Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,467.1-30.jpg,
467.2,Umlenkungspfeil Ende (Ende einer Streckenempfehlung),Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,467.2.jpg,
501,Überleitungstafel - ohne Gegenverkehr,Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,,
501-10,Überleitungstafel - ohne Gegenverkehr - 1-streifig nach links,Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,,
501-11,Überleitungstafel - ohne Gegenverkehr - 2-streifig nach links,Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,501-11.jpg,
501-12,Überleitungstafel - ohne Gegenverkehr - 3-streifig nach links,Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,,
501-13,"Überleitungstafel - ohne Gegenverkehr - 2-streifig nach links, davon 1 Fahrstreifen übergeleitet",Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,,
501-14,"Überleitungstafel - ohne Gegenverkehr - 3-streifig nach links, davon 1 Fahrstreifen übergeleitet",Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,501-14.jpg,
501-15,"Überleitungstafel - ohne Gegenverkehr - 3-streifig nach links, davon 2 Fahrstreifen übergeleitet",Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,,
501-16,"Überleitungstafel - ohne Gegenverkehr – 2-streifig, davon linker Fahrstreifen nach links übergeleitet und rechter Fahrstreifen geradeaus",Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,501-16.jpg,
501-17,"Überleitungstafel - ohne Gegenverkehr - 3-streifig, davon linker Fahrstreifen nach links übergeleitet und die beiden rechten Fahrstreifen geradeaus",Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,,
501-18,"Überleitungstafel - ohne Gegenverkehr - 3-streifig, davon die beiden linken Fahrstreifen nach links übergeleitet und rechter Fahrstreifen geradeaus",Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,,
501-19,"Überleitungstafel - ohne Gegenverkehr - 4-streifig, davon linker Fahrstreifen nach links übergeleitet und die drei rechten Fahrstreifen geradeaus",Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),VLT 2021,VLT 2021/Z-501/501-19.eps,,UEBERLEITUNGSTAFEL_OHNE_GEGENVERKEHR_4_STREIFIG_DAVON_LINKER_FAHRSTREI_501-19.svg
501-20,Überleitungstafel - ohne Gegenverkehr - 1-streifig nach rechts,Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,,
501-21,Überleitungstafel - ohne Gegenverkehr - 2-streifig nach rechts,Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,,
501-22,Überleitungstafel - ohne Gegenverkehr - 3-streifig nach rechts,Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,,
501-23,"Überleitungstafel - ohne Gegenverkehr - 2-streifig nach rechts, davon 1 Fahrstreifen übergeleitet",Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,,
501-24,"Überleitungstafel - ohne Gegenverkehr - 3-streifig nach rechts, davon 1 Fahrstreifen übergeleitet",Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,,
501-25,"Überleitungstafel - ohne Gegenverkehr - 3-streifig nach rechts, davon 2 Fahrstreifen übergeleitet",Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,,
501-26,"Überleitungstafel - ohne Gegenverkehr - 2-streifig, davon linker Fahrstreifen nach rechts übergeleitet und rechter Fahrstreifen geradeaus",Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,501-26.jpg,
501-27,"Überleitungstafel - ohne Gegenverkehr - 3-streifig, davon linker Fahrstreifen nach rechts übergeleitet und die beiden rechten Fahrstreifen geradeaus",Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,,
501-28,"Überleitungstafel - ohne Gegenverkehr - 3-streifig, davon die beiden linken Fahrstreifen nach rechts übergeleitet und rechter Fahrstreifen geradeaus",Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,,
501-29,"Überleitungstafel - ohne Gegenverkehr - 4-streifig, davon linker Fahrstreifen nach rechts übergeleitet und die drei rechten Fahrstreifen geradeaus",Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),VLT 2021,VLT 2021/Z-501/501-29.eps,,UEBERLEITUNGSTAFEL_OHNE_GEGENVERKEHR_4_STREIFIG_DAVON_LINKER_FAHRSTREI_501-29.svg
501-50,"Überleitungstafel - ohne Gegenverkehr - 4-streifig, davon die beiden linken Fahrstreifen nach links übergeleitet und die beiden rechten Fahrstreifen geradeaus",Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),VLT 2021,VLT 2021/Z-501/501-50.eps,,UEBERLEITUNGSTAFEL_OHNE_GEGENVERKEHR_4_STREIFIG_DAVON_DIE_BEIDEN_LINKE_501-50.svg
501-51,"Überleitungstafel - ohne Gegenverkehr - 4-streifig, davon die drei linken Fahrstreifen nach links übergeleitet und rechter Fahrstreifen geradeaus",Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),VLT 2021,VLT 2021/Z-501/501-51.eps,,UEBERLEITUNGSTAFEL_OHNE_GEGENVERKEHR_4_STREIFIG_DAVON_DIE_DREI_LINKEN__501-51.svg
501-52,"Überleitungstafel - ohne Gegenverkehr - 4-streifig nach links, davon 1 Fahrstreifen übergeleitet",Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),VLT 2021,VLT 2021/Z-501/501-52.eps,,UEBERLEITUNGSTAFEL_OHNE_GEGENVERKEHR_4_STREIFIG_NACH_LINKS_DAVON_1_FAH_501-52.svg
501-53,"Überleitungstafel - ohne Gegenverkehr - 4-streifig nach links, davon 2 Fahrstreifen übergeleitet",Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),VLT 2021,VLT 2021/Z-501/501-53.eps,,UEBERLEITUNGSTAFEL_OHNE_GEGENVERKEHR_4_STREIFIG_NACH_LINKS_DAVON_2_FAH_501-53.svg
501-54,"Überleitungstafel - ohne Gegenverkehr - 4-streifig nach links, davon 3 Fahrstreifen übergeleitet",Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),VLT 2021,VLT 2021/Z-501/501-54.eps,,UEBERLEITUNGSTAFEL_OHNE_GEGENVERKEHR_4_STREIFIG_NACH_LINKS_DAVON_3_FAH_501-54.svg
501-60,"Überleitungstafel - ohne Gegenverkehr - 4-streifig, davon die beiden linken Fahrstreifen nach rechts übergeleitet und die beiden rechten Fahrstreifen geradeaus",Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),VLT 2021,VLT 2021/Z-501/501-60.eps,,UEBERLEITUNGSTAFEL_OHNE_GEGENVERKEHR_4_STREIFIG_DAVON_DIE_BEIDEN_LINKE_501-60.svg
501-61,"Überleitungstafel - ohne Gegenverkehr - 4-streifig, davon die drei linken Fahrstreifen nach rechts übergeleitet und rechter Fahrstreifen geradeaus",Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),VLT 2021,VLT 2021/Z-501/501-61.eps,,UEBERLEITUNGSTAFEL_OHNE_GEGENVERKEHR_4_STREIFIG_DAVON_DIE_DREI_LINKEN__501-61.svg
