code,name,family,file,edition,drawn_size,notes
D3-1,STREET NAME (1 LINE) PRINCIPAL LEGEND WITH DESCENDING STROKES,Guide Signs,STREET_NAME_1_LINE_PRINCIPAL_LEGEND_WITH_DESCENDING_STROKES_D3-1.svg,2024 Edition,27.3x6.3 in,no size table or width dimension read; drawn at page scale (1 pt = 0.1 in)
D3-1,"STREET NAME (1 LINE) WITHOUT BORDER, PRINCIPAL LEGEND WITH OR WITHOUT DESCENDING STROKES",Guide Signs,STREET_NAME_1_LINE_WITHOUT_BORDER_PRINCIPAL_LEGEND_WITH_OR_WITHOUT_DESCENDING_STROKES_D3-1.svg,2024 Edition,27.3x6.3 in,no size table or width dimension read; drawn at page scale (1 pt = 0.1 in)
D3-1,"STREET NAME (1 LINE, ALTERNATE COLOR ARRANGEMENT)",Guide Signs,STREET_NAME_1_LINE_ALTERNATE_COLOR_ARRANGEMENT_2_D3-1.svg,2024 Edition,23.0x6.4 in,no size table or width dimension read; drawn at page scale (1 pt = 0.1 in); same code and name as page 26 but a different drawing; suffixed
D3-1,"STREET NAME (1 LINE, ALTERNATIVE COLOR ARRANGEMENT)",Guide Signs,STREET_NAME_1_LINE_ALTERNATIVE_COLOR_ARRANGEMENT_D3-1.svg,2024 Edition,27.8x6.4 in,no size table or width dimension read; drawn at page scale (1 pt = 0.1 in)
D3-1,STREET NAME (2 LINES),Guide Signs,STREET_NAME_2_LINES_D3-1.svg,2024 Edition,43.2x15.8 in,no size table or width dimension read; drawn at page scale (1 pt = 0.1 in)
D3-1,STREET NAME SIGN (1 LINE),Guide Signs,STREET_NAME_SIGN_1_LINE_2_D3-1.svg,2024 Edition,23.0x6.5 in,no size table or width dimension read; drawn at page scale (1 pt = 0.1 in); same code and name as page 25 but a different drawing; suffixed
D3-1a,STREET NAME WITH ROUTE SIGN,Guide Signs,STREET_NAME_WITH_ROUTE_SIGN_D3-1a.svg,2024 Edition,43.2x7.6 in,no size table or width dimension read; drawn at page scale (1 pt = 0.1 in)
D3-2,ADVANCE STREET NAME (2 LINES),Guide Signs,ADVANCE_STREET_NAME_2_LINES_D3-2.svg,2024 Edition,43.2x19.7 in,no size table or width dimension read; drawn at page scale (1 pt = 0.1 in)
D3-2,ADVANCE STREET NAME (3 LINES),Guide Signs,ADVANCE_STREET_NAME_3_LINES_2_D3-2.svg,2024 Edition,43.2x25.3 in,no size table or width dimension read; drawn at page scale (1 pt = 0.1 in); same code and name as page 30 but a different drawing; suffixed
D3-2,ADVANCE STREET NAME (4 LINES),Guide Signs,ADVANCE_STREET_NAME_4_LINES_D3-2.svg,2024 Edition,43.2x30.0 in,no size table or width dimension read; drawn at page scale (1 pt = 0.1 in)
