code,name,source
CE51,Écotaxe,Wikipedia
CE52,Covoiturage,Wikipedia
CE5a,Auberge de jeunesse,Wikipedia
CE5b,Chambre d'hôtes ou gîte,Wikipedia
CE6a,Accès à un itinéraire pédestre,Wikipedia
CE6b,Accès à un circuit de ski de fond,Wikipedia
CE7,Pique-nique,Wikipedia
CE8,Gare auto / train,Wikipedia
CE9,Parking vidéosurveillé,Wikipedia
D21a,Règles d'utilisation des panneaux suivant la géométrie du carrefour,"IISR 5e partie, article 84 heading"
D21b,Règles d'utilisation des panneaux suivant la géométrie du carrefour,"IISR 5e partie, article 84 heading"
D29,Règles d'utilisation des panneaux suivant la géométrie du carrefour,"IISR 5e partie, article 84 heading"
D31,sortie ou bifurcation routière ou autoroutière,Wikipedia
D32,sortie vers une aire de repos,Wikipedia
D41,présignalisation de sortie,Wikipedia
D42,présignalisation diagrammatique,Wikipedia
D43,présignalisation de signalisation de position,Wikipedia
D44,Signalisation des villages étapes,"IISR 5e partie, article 84-6 heading"
D45,Signalisation des villages étapes,"IISR 5e partie, article 84-6 heading"
D46,Parc de stationnement sous vidéoprotection,"IISR 5e partie, article 78-8 heading"
D46a,Signalisation des aires annexes,"IISR 5e partie, article 84-2 heading"
D47,signalisation des sections à péage et péages,Wikipedia
D47a,"Signalisation des sections à péage, des gares et des postes de péage","IISR 5e partie, article 84-3 heading"
D47b,Information service – Information de tourisme,"IISR 5e partie, article 78-2 heading"
D47c,"Signalisation des sections à péage, des gares et des postes de péage","IISR 5e partie, article 84-3 heading"
D48,Enseignes commerciales,"IISR 5e partie, article 78-30 heading"
D48a,Signalisation des aires annexes,"IISR 5e partie, article 84-2 heading"
D48b,Signalisation des aires annexes,"IISR 5e partie, article 84-2 heading"
D48c,Signalisation des aires annexes,"IISR 5e partie, article 84-2 heading"
D61a,Règles d'utilisation des panneaux suivant la géométrie du carrefour,"IISR 5e partie, article 84 heading"
D61b,"Signalisation des sections à péage, des gares et des postes de péage","IISR 5e partie, article 84-3 heading"
D69a,Signalisation des itinéraires de substitution,"IISR 5e partie, article 84-4 heading"
D69b,Signalisation des itinéraires « Bis,"IISR 5e partie, article 84-5 heading"
D79a,Signalisation des itinéraires de substitution,"IISR 5e partie, article 84-4 heading"
D79b,Signalisation des itinéraires « Bis,"IISR 5e partie, article 84-5 heading"
Da31,sortie ou bifurcation routière ou autoroutière,Wikipedia
Da32,Signalisation d'entrée d'aires de service ou de repos,Wikipedia
Da41,Signalisation des itinéraires « Bis,"IISR 5e partie, article 84-5 heading"
Dp2a,Issue de secours,"IISR 5e partie, article 78-27 heading"
Dp2b,Issue de secours,"IISR 5e partie, article 78-27 heading"
Dv12,Logotypes,"IISR 5e partie, article 82-2 heading"
E31,Panneaux de localisation d'entrée et de sortie d'agglomération de,"IISR 5e partie, article 99-2 heading"
E32,Panneaux de localisation d'entrée et de sortie d'agglomération de,"IISR 5e partie, article 99-2 heading"
E33a,"localisation d'un parc national, d'un parc naturel régional, d'une réserve naturelle ou d'un terrain du Conservatoire du littoral et des rivages lacustres",Wikipedia
E33b,"appartenance d'une commune à un parc national, à un parc naturel régional, à une réserve naturelle ou à une zone du Conservatoire du littoral et des rivages lacustres",Wikipedia
E34a,localisation d'une aire routière,Wikipedia
E34b,fin de localisation d'une aire routière,Wikipedia
E36,Logotypes,"IISR 5e partie, article 82-2 heading"
E37a,Indication du nom d'une œuvre d'art et de son auteur sur des voiries où la circulation des piétons est interdite,Wikipedia
E37b,Indication du nom de l'auteur d'une œuvre d'art sur les voiries où la circulation des piétons est interdite,Wikipedia
E38,Logotypes,"IISR 5e partie, article 82-2 heading"
E39,localisation d'un État membre à la Communauté économique européenne,Wikipedia
E40,Éléments de repérage et de guidage placés au-dessus de certains,IISR 5e partie
E42,Panneaux de localisation d'entrée et de sortie d'agglomération de,"IISR 5e partie, article 99-2 heading"
E46,Signalisation des rocades,"IISR 5e partie, article 84-1 heading"
E60,Identification de la voirie urbaine,"IISR 5e partie, article 99-6 heading"
EB10,Panneaux de localisation d'entrée et de sortie d'agglomération de,"IISR 5e partie, article 99-2 heading"
EB20,Panneaux de localisation d'entrée et de sortie d'agglomération de,"IISR 5e partie, article 99-2 heading"
G1,Passage à niveau à voie unique,IISR 2e partie
G1a,Passage à niveau à plusieurs voies (art,IISR 2e partie
G2,Signalisation automatique avec un feu rouge clignotant et munie de demi-barrières à fonctionnement automatique interceptant la partie droite de la chaussée. Le fonctionnement du feu rouge clignotant annonce l'arrivée des trains et précède de peu la fermeture des demi-barrières55,Wikipedia
G3,Signalisation des passages à niveau avec voies électrifiées lorsque la hauteur des fils de contact est inférieure à six mètres{{sfn|id=SignalPniveauG|texte=Sécu,Wikipedia
H10,Suivantes,IISR 5e partie
H11,indication par message littéral,Wikipedia
H12,indication par message graphique,Wikipedia
H13,indication par message littéral et graphique,Wikipedia
H20,Logotypes,"IISR 5e partie, article 82-2 heading"
H21,localisation d'un itinéraire touristique,Wikipedia
H22,présignalisation d'un itinéraire touristique,Wikipedia
H23,présignalisation d'un itinéraire touristique,Wikipedia
H24,fin d'un itinéraire touristique,Wikipedia
H31,"indication d'une curiosité ou d'un lieu touristique, complétée par la direction à suivre",Wikipedia
H32,"indication d'une curiosité ou d'un lieu touristique, complétée par la direction à suivre ainsi que par un message graphique",Wikipedia
H33,indication d'une curiosité ou d'un lieu touristique complétée par un message graphique,Wikipedia
J1,Balise de virage,Wikipedia (page title)
J10,Balise pour passage à niveau,Wikipedia (page title)
J11,Balise routière de renforcement permanent d'un marquage,Wikipedia (page title)
J12,Balise routière de renforcement d'un marquage en divergent,Wikipedia (page title)
J13,Balise routière de signalisation d'obstacle,Wikipedia (page title)
J14a,Balise de musoir,Wikipedia (page title)
J14b,Balise de musoir,Wikipedia (page title)
J3,Balise d'intersection,Wikipedia (page title)
J4,Balise de virage à chevrons,Wikipedia (page title)
J5,Balise de signalisation de tête d'îlot,Wikipedia (page title)
J6,Délinéateur,Wikipedia (page title)
J7,Manche à air,Wikipedia (page title)
K1,signalisation d'un obstacle temporaire de faible importance ou signalisation de l'arrivée d'un train sur un passage à niveau sans barrière,IISR 8e partie
K10,signal servant à régler manuellement la circulation,IISR 8e partie
K14,signal de délimitation de chantier ou signal de fermeture d'un passage à niveau,IISR 8e partie
K15,portique de présignalisation de gabarit limité,IISR 8e partie
K16,séparateur modulaire de voies servant à séparer de façon continue des voies de circulation ou délimiter une zone de chantier et assurer une fonction de guidage,IISR 8e partie
K2,"barrages de divers types, signalant la position de travaux ou de tout autre obstacle de caractère temporaire",IISR 8e partie
K5,"signalisation de position des limites d'obstacles temporaires ou de chantier, qui comprend",IISR 8e partie
K5a,dispositif conique,IISR 8e partie
K5b,piquet,IISR 8e partie
K5c,balise d'alignement,IISR 8e partie
K5d,balise de guidage,IISR 8e partie
K8,signal de position d'une déviation ou de rétrécissement temporaire de chaussée,IISR 8e partie
KC1,panneau d'indication informant l'usager de la présence de chantiers importants ou de situations temporaires dont la nature est mentionnée par une inscription,IISR 8e partie
KD10,"annonce de la réduction du nombre de voies laissées libres à la circulation, sur routes à chaussées séparées",Wikipedia
KD10a,annonce de la réduction d'une voie,IISR 8e partie
KD10b,"annonce, en signalisation d'urgence, de la réduction de plusieurs voies sur routes à chaussées séparées",IISR 8e partie
KD21,panneau de direction d'une déviation avec mention de la ville,IISR 8e partie
KD22,panneau de direction d'une déviation,IISR 8e partie
KD22a,"1300 x 300 mm en présence de la mention « Déviation »,",IISR 8e partie
KD22b,1600 x 300 mm,IISR 8e partie
KD42,panneau de présignalisation de déviation,IISR 8e partie
KD43,panneau de présignalisation courante,IISR 8e partie
KD43a,"1300 x 300 mm en présence de la mention ""Déviation"",",IISR 8e partie
KD43b,1600 x 300 mm,IISR 8e partie
KD44,Encart de présignalisation de l'origine d'un itinéraire de déviation,IISR 8e partie
KD62,panneau de confirmation de déviation,IISR 8e partie
