code,name,family,file,size,notes,source
MR-GE-36,MR-GE-36 - Overhead Advance Exit Sign for Exclusive Left Turn Lanes,intervene/Guide Signs,MR_GE_36_OVERHEAD_ADVANCE_EXIT_SIGN_FOR_EXCLUSIVE_LEFT_TURN_LANES_MR-GE-36.svg,1300x667 mm,"no scale on the sheet and no register size; drawn at 1:10 — check; 2 closed letter outline(s) filled solid; no colour note on the sheet: MR-GE series default assumed — check colours: legend WHITE, background GREEN; legend is CAD text on the sheet (HODGES DR, Joondalup, EXIT, ONLY): needs setting in the AS 1744 face by hand",Original PDFs/Guide Signs/Freeway Series MR-GE/mr-ge-36.dwg
MR-GE-14,MR-GE-14 - Advance direction (cross road),intervene/Guide Signs,MR_GE_14_ADVANCE_DIRECTION_CROSS_ROAD_MR-GE-14.svg,3600x3492 mm,"size from the register (3600x3366 mm); no scale on the sheet; 1 closed letter outline(s) filled solid; no colour note on the sheet: MR-GE series default assumed — check colours: legend WHITE, background GREEN; legend is CAD text on the sheet (e, l, a, d…): needs setting in the AS 1744 face by hand",Original PDFs/Guide Signs/Freeway Series MR-GE/mr-ge-14.dwg
MR-GE-14,MR-GE-14 - Advance direction (cross road),intervene/Guide Signs,MR_GE_14_ADVANCE_DIRECTION_CROSS_ROAD_VAR2_MR-GE-14.svg,3600x3600 mm,"size from the register (3600x3366 mm); no scale on the sheet; 1 closed letter outline(s) filled solid; register size 3600x3366 mm differs from the drawing (3600 x 3600 mm) — check; no colour note on the sheet: MR-GE series default assumed — check colours: legend WHITE, background GREEN; legend is CAD text on the sheet (e, l, a, d…): needs setting in the AS 1744 face by hand",Original PDFs/Guide Signs/Freeway Series MR-GE/mr-ge-14.dwg
MR-GE-14,MR-GE-14 - Advance direction (cross road),intervene/Guide Signs,MR_GE_14_ADVANCE_DIRECTION_CROSS_ROAD_VAR3_MR-GE-14.svg,3366x4199 mm,"size from the register (3600x3366 mm); no scale on the sheet; 1 closed letter outline(s) filled solid; register size 3600x3366 mm differs from the drawing (3366 x 4199 mm) — check; no colour note on the sheet: MR-GE series default assumed — check colours: legend WHITE, background GREEN; legend is CAD text on the sheet (e, l, a, d…): needs setting in the AS 1744 face by hand",Original PDFs/Guide Signs/Freeway Series MR-GE/mr-ge-14.dwg
MR-GE-14,MR-GE-14 - Advance direction (cross road),intervene/Guide Signs,MR_GE_14_ADVANCE_DIRECTION_CROSS_ROAD_VAR4_MR-GE-14.svg,3600x1762 mm,"size from the register (3600x3366 mm); no scale on the sheet; 1 closed letter outline(s) filled solid; register size 3600x3366 mm differs from the drawing (3600 x 1762 mm) — check; no colour note on the sheet: MR-GE series default assumed — check colours: legend WHITE, background GREEN; legend is CAD text on the sheet (e, l, a, d…): needs setting in the AS 1744 face by hand",Original PDFs/Guide Signs/Freeway Series MR-GE/mr-ge-14.dwg
MR-GE-14,MR-GE-14 - Advance direction (cross road),intervene/Guide Signs,MR_GE_14_ADVANCE_DIRECTION_CROSS_ROAD_VAR5_MR-GE-14.svg,3600x1143 mm,"size from the register (3600x3366 mm); no scale on the sheet; 1 closed letter outline(s) filled solid; register size 3600x3366 mm differs from the drawing (3600 x 1143 mm) — check; no colour note on the sheet: MR-GE series default assumed — check colours: legend WHITE, background GREEN; legend is CAD text on the sheet (e, l, a, d…): needs setting in the AS 1744 face by hand",Original PDFs/Guide Signs/Freeway Series MR-GE/mr-ge-14.dwg
MR-GE-23D,MR-GE-23D - End of freeway,Guide Signs,,,no drawing found after removing the sheet furniture,Original PDFs/Guide Signs/Freeway Series MR-GE/mr-ge-23d.dwg
MR-GE-22A,MR-GE-22A - Start of freeway,Guide Signs,,,no drawing found after removing the sheet furniture,Original PDFs/Guide Signs/Freeway Series MR-GE/mr-ge-22a.dwg
MR-GE-22B,MR-GE-22B - Start of freeway,Guide Signs,,,no drawing found after removing the sheet furniture,Original PDFs/Guide Signs/Freeway Series MR-GE/mr-ge-22b.dwg
MR-GE-23A,MR-GE-23A - End of freeway,Guide Signs,,,no drawing found after removing the sheet furniture,Original PDFs/Guide Signs/Freeway Series MR-GE/mr-ge-23a.dwg
