code,name,family,file,size,source,notes
Dv11,Panneau de direction cyclable,D Direction,D Direction/PANNEAU_DE_DIRECTION_CYCLABLE_Dv11.svg,304x304 mm,Panneaux_D/Signaux_Dv/Dv11.svg,drawn 60.7x60.7 mm at 1:5; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)
Dv21a_ex1,Panneau de direction cyclable,D Direction,D Direction/PANNEAU_DE_DIRECTION_CYCLABLE_Dv21a_ex1.svg,1255x205 mm,Panneaux_D/Signaux_Dv/Dv21a_ex1.svg,drawn 251.0x41.0 mm at 1:5; 1 stroked path(s) outlined with Inkscape; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)
Dv21a_ex2,Panneau de direction cyclable,D Direction,D Direction/PANNEAU_DE_DIRECTION_CYCLABLE_Dv21a_ex2.svg,1258x209 mm,Panneaux_D/Signaux_Dv/Dv21a_ex2.svg,drawn 251.7x41.8 mm at 1:5; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)
Dv21b,Panneau de direction cyclable,D Direction,D Direction/PANNEAU_DE_DIRECTION_CYCLABLE_Dv21b.svg,1762x383 mm,Panneaux_D/Signaux_Dv/Dv21b.svg,drawn 352.4x76.6 mm at 1:5; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)
Dv21c_ex2,Panneau de direction cyclable,D Direction,D Direction/PANNEAU_DE_DIRECTION_CYCLABLE_Dv21c_ex2.svg,508x380 mm,Panneaux_D/Signaux_Dv/Dv21c_ex2.svg,drawn 101.6x76.1 mm at 1:5; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)
Dv42a,Panneau de direction cyclable,D Direction,D Direction/PANNEAU_DE_DIRECTION_CYCLABLE_Dv42a.svg,388x294 mm,Panneaux_D/Signaux_Dv/Dv42a.svg,drawn 77.6x58.7 mm at 1:5; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)
Dv42b,Panneau de direction cyclable,D Direction,D Direction/PANNEAU_DE_DIRECTION_CYCLABLE_Dv42b.svg,457x300 mm,Panneaux_D/Signaux_Dv/Dv42b.svg,drawn 91.3x59.9 mm at 1:5; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)
Dv43a_ex1,Panneau de direction cyclable,D Direction,D Direction/PANNEAU_DE_DIRECTION_CYCLABLE_Dv43a_ex1.svg,2514x386 mm,Panneaux_D/Signaux_Dv/Dv43a_ex1.svg,drawn 502.7x77.1 mm at 1:5; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)
Dv43a_ex2,Panneau de direction cyclable,D Direction,D Direction/PANNEAU_DE_DIRECTION_CYCLABLE_Dv43a_ex2.svg,1004x193 mm,Panneaux_D/Signaux_Dv/Dv43a_ex2.svg,drawn 200.8x38.6 mm at 1:5; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)
Dv43b_ex1,Panneau de direction cyclable,D Direction,D Direction/PANNEAU_DE_DIRECTION_CYCLABLE_Dv43b_ex1.svg,2012x392 mm,Panneaux_D/Signaux_Dv/Dv43b_ex1.svg,drawn 402.3x78.3 mm at 1:5; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)
