code,name,family,file,size,notes,source
W2-11(R),Successive Side Road Intersections on a Curve (Right Symbolic),Warning Signs,SUCCESSIVE_SIDE_ROAD_INTERSECTIONS_ON_A_CURVE_RIGHT_SYMBOLIC_W2-11(R).svg,944x879 mm,no size found on the sheet; drawn at 1:10 — check; background assumed to be a white rectangle (outline drawn as loose strokes) — check; triangulated CAD export unioned; code also in the national AS 1743 set,Original PDFs/w2-11_r.pdf
W2-11(R),Successive Side Road Intersections on a Curve (Right Symbolic),Warning Signs,SUCCESSIVE_SIDE_ROAD_INTERSECTIONS_ON_A_CURVE_RIGHT_SYMBOLIC_VAR2_W2-11(R).svg,780x720 mm,no size found on the sheet; drawn at 1:10 — check; background assumed to be a white rectangle (outline drawn as loose strokes) — check; triangulated CAD export unioned; code also in the national AS 1743 set,Original PDFs/w2-11_r.pdf
W2-11(R),Successive Side Road Intersections on a Curve (Right Symbolic),Warning Signs,SUCCESSIVE_SIDE_ROAD_INTERSECTIONS_ON_A_CURVE_RIGHT_SYMBOLIC_VAR3_W2-11(R).svg,649x706 mm,no size found on the sheet; drawn at 1:10 — check; background assumed to be a white rectangle (outline drawn as loose strokes) — check; triangulated CAD export unioned; code also in the national AS 1743 set,Original PDFs/w2-11_r.pdf
W2-11(R),Successive Side Road Intersections on a Curve (Right Symbolic),Warning Signs,SUCCESSIVE_SIDE_ROAD_INTERSECTIONS_ON_A_CURVE_RIGHT_SYMBOLIC_VAR4_W2-11(R).svg,521x565 mm,no size found on the sheet; drawn at 1:10 — check; background assumed to be a white rectangle (outline drawn as loose strokes) — check; triangulated CAD export unioned; code also in the national AS 1743 set,Original PDFs/w2-11_r.pdf
W2-13(L),Successive Side Road Intersections on a Straight (Left Symbolic),Warning Signs,SUCCESSIVE_SIDE_ROAD_INTERSECTIONS_ON_A_STRAIGHT_LEFT_SYMBOLIC_W2-13(L).svg,865x878 mm,no size found on the sheet; drawn at 1:10 — check; triangulated CAD export unioned; drawn at 2 sizes on the sheet; largest kept; code also in the national AS 1743 set,Original PDFs/w2-13_l.pdf
W2-13(L),Successive Side Road Intersections on a Straight (Left Symbolic),Warning Signs,SUCCESSIVE_SIDE_ROAD_INTERSECTIONS_ON_A_STRAIGHT_LEFT_SYMBOLIC_VAR2_W2-13(L).svg,517x548 mm,no size found on the sheet; drawn at 1:10 — check; triangulated CAD export unioned; drawn at 2 sizes on the sheet; largest kept; code also in the national AS 1743 set,Original PDFs/w2-13_l.pdf
W2-13(R),Successive Side Road Intersections on a Straight (Right Symbolic),Warning Signs,SUCCESSIVE_SIDE_ROAD_INTERSECTIONS_ON_A_STRAIGHT_RIGHT_SYMBOLIC_W2-13(R).svg,879x890 mm,no size found on the sheet; drawn at 1:10 — check; background assumed to be a white rectangle (outline drawn as loose strokes) — check; triangulated CAD export unioned; code also in the national AS 1743 set,Original PDFs/w2-13_r.pdf
W2-13(R),Successive Side Road Intersections on a Straight (Right Symbolic),Warning Signs,SUCCESSIVE_SIDE_ROAD_INTERSECTIONS_ON_A_STRAIGHT_RIGHT_SYMBOLIC_VAR2_W2-13(R).svg,728x666 mm,no size found on the sheet; drawn at 1:10 — check; background assumed to be a white rectangle (outline drawn as loose strokes) — check; triangulated CAD export unioned; drawn at 3 sizes on the sheet; largest kept; code also in the national AS 1743 set,Original PDFs/w2-13_r.pdf
W2-14(L,"T-Intersection, beyond a curve (Left Symbolic)",Warning Signs,T_INTERSECTION_BEYOND_A_CURVE_LEFT_SYMBOLIC_W2-14(L.svg,997x897 mm,no size found on the sheet; drawn at 1:10 — check; background assumed to be a white rectangle (outline drawn as loose strokes) — check; triangulated CAD export unioned; NSW-only code,Original PDFs/w2-14_l.pdf
W2-14(L,"T-Intersection, beyond a curve (Left Symbolic)",Warning Signs,T_INTERSECTION_BEYOND_A_CURVE_LEFT_SYMBOLIC_VAR2_W2-14(L.svg,790x671 mm,no size found on the sheet; drawn at 1:10 — check; background assumed to be a white rectangle (outline drawn as loose strokes) — check; triangulated CAD export unioned; drawn at 2 sizes on the sheet; largest kept; NSW-only code,Original PDFs/w2-14_l.pdf
W2-14(L,"T-Intersection, beyond a curve (Left Symbolic)",Warning Signs,T_INTERSECTION_BEYOND_A_CURVE_LEFT_SYMBOLIC_VAR3_W2-14(L.svg,530x549 mm,no size found on the sheet; drawn at 1:10 — check; background assumed to be a white rectangle (outline drawn as loose strokes) — check; triangulated CAD export unioned; NSW-only code,Original PDFs/w2-14_l.pdf
W2-14(R),T-Intersection beyond a Curve (Right Symbolic),Warning Signs,T_INTERSECTION_BEYOND_A_CURVE_RIGHT_SYMBOLIC_W2-14(R).svg,908x826 mm,no size found on the sheet; drawn at 1:10 — check; triangulated CAD export unioned; code also in the national AS 1743 set,Original PDFs/w2-14_r.pdf
W2-14(R),T-Intersection beyond a Curve (Right Symbolic),Warning Signs,T_INTERSECTION_BEYOND_A_CURVE_RIGHT_SYMBOLIC_VAR2_W2-14(R).svg,679x619 mm,no size found on the sheet; drawn at 1:10 — check; triangulated CAD export unioned; code also in the national AS 1743 set,Original PDFs/w2-14_r.pdf
W2-14(R),T-Intersection beyond a Curve (Right Symbolic),Warning Signs,T_INTERSECTION_BEYOND_A_CURVE_RIGHT_SYMBOLIC_VAR3_W2-14(R).svg,542x516 mm,no size found on the sheet; drawn at 1:10 — check; triangulated CAD export unioned; code also in the national AS 1743 set,Original PDFs/w2-14_r.pdf
W2-14(R),T-Intersection beyond a Curve (Right Symbolic),Warning Signs,T_INTERSECTION_BEYOND_A_CURVE_RIGHT_SYMBOLIC_VAR4_W2-14(R).svg,433x413 mm,no size found on the sheet; drawn at 1:10 — check; triangulated CAD export unioned; code also in the national AS 1743 set,Original PDFs/w2-14_r.pdf
W2-15(R),Cross Road On a Curve (Right Symbolic),Warning Signs,CROSS_ROAD_ON_A_CURVE_RIGHT_SYMBOLIC_W2-15(R).svg,944x878 mm,no size found on the sheet; drawn at 1:10 — check; background assumed to be a white rectangle (outline drawn as loose strokes) — check; triangulated CAD export unioned; code also in the national AS 1743 set,Original PDFs/w2-15_r.pdf
W2-15(R),Cross Road On a Curve (Right Symbolic),Warning Signs,CROSS_ROAD_ON_A_CURVE_RIGHT_SYMBOLIC_VAR2_W2-15(R).svg,712x719 mm,no size found on the sheet; drawn at 1:10 — check; background assumed to be a white rectangle (outline drawn as loose strokes) — check; triangulated CAD export unioned; code also in the national AS 1743 set,Original PDFs/w2-15_r.pdf
W2-15(R),Cross Road On a Curve (Right Symbolic),Warning Signs,CROSS_ROAD_ON_A_CURVE_RIGHT_SYMBOLIC_VAR3_W2-15(R).svg,648x705 mm,no size found on the sheet; drawn at 1:10 — check; background assumed to be a white rectangle (outline drawn as loose strokes) — check; triangulated CAD export unioned; code also in the national AS 1743 set,Original PDFs/w2-15_r.pdf
W2-15(R),Cross Road On a Curve (Right Symbolic),Warning Signs,CROSS_ROAD_ON_A_CURVE_RIGHT_SYMBOLIC_VAR4_W2-15(R).svg,520x564 mm,no size found on the sheet; drawn at 1:10 — check; background assumed to be a white rectangle (outline drawn as loose strokes) — check; triangulated CAD export unioned; code also in the national AS 1743 set,Original PDFs/w2-15_r.pdf
W2-15(L),Cross Road On a Curve (Left Symbolic),Warning Signs,CROSS_ROAD_ON_A_CURVE_LEFT_SYMBOLIC_W2-15(L).svg,863x826 mm,no size found on the sheet; drawn at 1:10 — check; triangulated CAD export unioned; drawn at 2 sizes on the sheet; largest kept; code also in the national AS 1743 set,Original PDFs/w2-15_l.pdf
W2-15(L),Cross Road On a Curve (Left Symbolic),Warning Signs,CROSS_ROAD_ON_A_CURVE_LEFT_SYMBOLIC_VAR2_W2-15(L).svg,516x516 mm,no size found on the sheet; drawn at 1:10 — check; triangulated CAD export unioned; drawn at 2 sizes on the sheet; largest kept; code also in the national AS 1743 set,Original PDFs/w2-15_l.pdf
W2-16(L),Side Road Intersection on a Curve (side road on straight alignment ) (Left Symbolic),Warning Signs,SIDE_ROAD_INTERSECTION_ON_A_CURVE_SIDE_ROAD_ON_STRAIGHT_ALIGNMENT_LEFT_SYMBOLIC_W2-16(L).svg,864x826 mm,no size found on the sheet; drawn at 1:10 — check; triangulated CAD export unioned; drawn at 2 sizes on the sheet; largest kept; code also in the national AS 1743 set,Original PDFs/w2-16_l.pdf
